Carne – R$ 40,00 (10 unidades)
Coração – R$ 19,00 (5 unidades)
Costela – R$ 22,00 (5 unidades)
Cupim na Bodinha – R$ 25,00 (5 unidades)
Cupim na Mostarda – R$ 25,00 (5 unidades)
Frango – R$ 17,50 (5 unidades)
Kafta – R$ 17,50 (5 unidades)
Linguiça Apimentada – R$ 19,00 (5 unidades)
Linguiça Cuiabana – R$ 19,00 (5 unidades)
Linguiça de Costela – R$ 19,00 (5 unidades)
Medalhão de Carne – R$ 26,50 (5 unidades)
Medalhão de Frango – R$ 26,50 (5 unidades)
Medalhão de Queijo – R$ 35,00 (5 unidades)
Panceta – R$ 20,00 (5 unidades)
Pão de Alho – R$ 15,00 (5 unidades)
Queijo Goalho – R$ 35,00 (7 unidades)
Queijo Nozinho – R$ 27,50 (5 unidades)
Tulipa de Frango – R$ 17,50 (5 unidades)
